r,window,station,n_seeds,mean_res_pair_mean,mean_res_pair_sem,std_res_pair_mean,std_res_pair_sem,frac_res_lt_1e-3_mean,frac_res_lt_1e-3_sem,mean_n_unique_joint_mean,mean_n_unique_joint_sem,std_n_unique_joint_mean,std_n_unique_joint_sem,mean_max_mult_mean,mean_max_mult_sem,std_max_mult_mean,std_max_mult_sem,mean_sparsity_mean,mean_sparsity_sem,std_sparsity_mean,std_sparsity_sem,mean_alph_prod_mean,mean_alph_prod_sem,std_alph_prod_mean,std_alph_prod_sem,mean_fill_frac_mean,mean_fill_frac_sem,std_fill_frac_mean,std_fill_frac_sem,mean_H_joint_mean,mean_H_joint_sem,std_H_joint_mean,std_H_joint_sem,mean_TC_mean,mean_TC_sem,std_TC_mean,std_TC_sem,mean_TC_pair_mean,mean_TC_pair_sem,std_TC_pair_mean,std_TC_pair_sem,mean_Res_TC_mean,mean_Res_TC_sem,std_Res_TC_mean,std_Res_TC_sem,mean_ipf_iters_mean,mean_ipf_iters_sem,std_ipf_iters_mean,std_ipf_iters_sem,mean_ipf_dev_mean,mean_ipf_dev_sem,std_ipf_dev_mean,std_ipf_dev_sem,mean_mean_k_i_mean,mean_mean_k_i_sem,std_mean_k_i_mean,std_mean_k_i_sem,frac_res_lt_1e-2_mean,frac_res_lt_1e-2_sem,n_windows_mean,n_windows_sem,full_res_pair_mean,full_res_pair_sem,full_n_unique_joint_mean,full_n_unique_joint_sem,full_max_mult_mean,full_max_mult_sem,full_sparsity_mean,full_sparsity_sem,full_alph_prod_mean,full_alph_prod_sem,full_fill_frac_mean,full_fill_frac_sem,full_H_joint_mean,full_H_joint_sem,full_TC_mean,full_TC_sem,full_TC_pair_mean,full_TC_pair_sem,full_Res_TC_mean,full_Res_TC_sem,full_ipf_iters_mean,full_ipf_iters_sem,full_ipf_dev_mean,full_ipf_dev_sem,full_mean_k_i_mean,full_mean_k_i_sem
3.2,13,S_k_p2,4,0.19212342069924424,0.005717020328898571,0.22043430978452078,0.004160418644087256,0.21763392857142855,0.011955516342426652,11.3671875,0.021489809725412715,1.1393290540568681,0.020244303574850856,1.9196428571428572,0.009203360771468007,0.48318209221130326,0.014233907857768126,0.8743990384615385,0.0016530622865702108,0.08764069646591294,0.0015572541211423734,255.3571428571429,0.2341942330107845,6.002032911956444,1.0589859542770492,0.044542585100446425,9.995298520498443e-05,0.004588864149934963,7.610714693417397e-05,3.44437716983561,0.0032665347076651584,0.18351579986215616,0.003514565571586392,4.307507829088632,0.009950124685366372,0.1993573271797084,0.002333512887655814,4.107697525268971,0.015592828544139473,0.30356647338344883,0.0025074815417788256,0.1998103038196598,0.005648821947228691,0.21877977928873232,0.004041319084838009,193.44196428571428,0.5697279556062128,33.95238624841376,1.4069572773182093,0.0003086258585240589,5.544020875622654e-06,0.00016040716412882975,2.24335797665564e-06,3.9974888392857144,0.0009148212226983601,0.02344544106232986,0.004136663883894724,0.4620535714285714,0.01628852624924825,224.0,0.0,0.008604072514233261,0.001488109964470323,32.0,0.0,34.25,0.21650635094610965,0.04,0.0,256.0,0.0,0.125,0.0,4.975447427434029,0.0011599995343298216,3.0219413869225527,0.00117394724691226,3.0133373144084894,0.001973836713204687,0.008604072514063477,0.001488109964684052,7.75,0.414578098794425,2.075179611482625e-11,1.7655117968148674e-12,4.0,0.0
3.2,26,S_k_p2,4,0.31695879391934223,0.009796712561874199,0.13752138652029233,0.003152928919775133,0.0,0.0,18.923423423423422,0.05551242136876718,1.6829108967784625,0.03700095125494977,2.7894144144144146,0.015389245910716725,0.6170983244251672,0.013208476239018854,0.7278239778239778,0.0021350931295679152,0.06472734218378702,0.0014231135098057616,256.0,0.0,0.0,0.0,0.07391962274774774,0.0002168453959717468,0.006573870690540869,0.00014453496583964753,4.120222556034396,0.004929302202730299,0.15367546068316373,0.0042005825626505525,3.7842362752067844,0.005846841530016004,0.15457776352886352,0.0041344550881474715,3.4653125918731043,0.013690604359271403,0.19232040905600148,0.005448987943382125,0.3189236833336804,0.009690272690253606,0.13613434208667627,0.0031716685261254087,122.76576576576576,4.207185203079214,84.71822634707546,0.3100598797357381,0.00011226238066197066,5.226643783697699e-06,0.00011424810001491906,2.0328605926455177e-06,4.0,0.0,0.0,0.0,0.0022522522522522522,0.0019505076661811684,222.0,0.0,0.008604072514233261,0.001488109964470323,32.0,0.0,34.25,0.21650635094610965,0.04,0.0,256.0,0.0,0.125,0.0,4.975447427434029,0.0011599995343298216,3.0219413869225527,0.00117394724691226,3.0133373144084894,0.001973836713204687,0.008604072514063477,0.001488109964684052,7.75,0.414578098794425,2.075179611482625e-11,1.7655117968148674e-12,4.0,0.0
3.2,52,S_k_p2,4,0.18435470057020448,0.006002564074399207,0.07037619482763853,0.0009991724323347815,0.0,0.0,26.735185185185188,0.10268597835581889,1.7056144167503,0.039851952280722094,4.281481481481482,0.02143673500516709,0.7059381208887698,0.022709536046436947,0.5141381766381766,0.0019747303529964806,0.03280027724519807,0.000766383697706195,256.0,0.0,0.0,0.0,0.10443431712962964,0.0004011171029524175,0.006662556315430859,0.00015567168859657068,4.569331871283886,0.006620358846713396,0.10432107520116456,0.002788963381174982,3.386944729111868,0.005800471891338094,0.1016883936560561,0.0028251957789696357,3.2025255329834827,0.009301072398978755,0.08730265218067987,0.005997156457340141,0.18441919612838567,0.005989128733328041,0.07032686328906841,0.0009872807269001764,30.25925925925926,2.122294937672221,29.561415787824536,5.509378642824528,4.964776027561806e-06,1.4817658213759788e-06,2.4682000995324806e-05,7.2492820339420376e-06,4.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.008604072514233261,0.001488109964470323,32.0,0.0,34.25,0.21650635094610965,0.04,0.0,256.0,0.0,0.125,0.0,4.975447427434029,0.0011599995343298216,3.0219413869225527,0.00117394724691226,3.0133373144084894,0.001973836713204687,0.008604072514063477,0.001488109964684052,7.75,0.414578098794425,2.075179611482625e-11,1.7655117968148674e-12,4.0,0.0
3.2,104,S_k_p2,4,0.07993293138340649,0.004377659627274454,0.03473808725680719,0.001957837826070808,0.0,0.0,31.215909090909093,0.07695549111329553,0.8500143110885742,0.040039883865642445,6.928030303030303,0.06590800242918683,0.9186511234999859,0.015405025947100016,0.300152972027972,0.0007399566453201559,0.008173214529697841,0.0003849988833234852,256.0,0.0,0.0,0.0,0.12193714488636365,0.00030060738716131065,0.003320368402689743,0.0001564057963501658,4.803244816313441,0.0063885921285356875,0.05424913229035648,0.002028983542877459,3.1754466510106374,0.005393399777110982,0.05319393752902252,0.0015454769807727777,3.0955137196076477,0.005355805427543856,0.04140669313778421,0.0017998395223610838,0.07993293140298946,0.004377659626511101,0.03473808725727312,0.0019578378273145767,14.68939393939394,0.38159941423914473,4.7791026190826145,0.4071387237232631,4.919049621546464e-11,1.1201586337521735e-12,2.3764777609896372e-11,2.8395695126221944e-13,4.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.008604072514233261,0.001488109964470323,32.0,0.0,34.25,0.21650635094610965,0.04,0.0,256.0,0.0,0.125,0.0,4.975447427434029,0.0011599995343298216,3.0219413869225527,0.00117394724691226,3.0133373144084894,0.001973836713204687,0.008604072514063477,0.001488109964684052,7.75,0.414578098794425,2.075179611482625e-11,1.7655117968148674e-12,4.0,0.0
3.3,13,S_k_p2,4,0.1812963196022329,0.004318874942685328,0.22274950518841882,0.0008940019441915331,0.23660714285714285,0.015056626744678616,11.368303571428571,0.01999606346782218,1.104897796477856,0.01822750939171847,1.9296875,0.005984266347524328,0.47968931528368186,0.008691070131483401,0.8744848901098901,0.0015381587282940511,0.0849921381906043,0.0014021161070552617,255.71428571428572,0.0,4.266624149448022,0.0,0.04446701776413691,7.654956027923268e-05,0.004353003336312266,4.4851123624506744e-05,3.4443771698356094,0.0028786624182871347,0.17873201960016985,0.0032385191368767188,4.3311501347247,0.0026270914492635927,0.1886962036858986,0.0035432906459052977,4.142201678351872,0.004270410783629927,0.30589138692838214,0.003989302516784417,0.18894845637282853,0.004433894243792466,0.22131694089573956,0.0007906628884066024,193.625,0.469793163244072,33.58264685693585,1.292731097354553,0.00031182181270478297,4.734771514581938e-06,0.00015813100430747863,3.3242101804511284e-06,3.9988839285714284,0.0,0.016666500583781337,0.0,0.5,0.01159855451497017,224.0,0.0,0.008663029575990536,0.0017321640289670156,32.0,0.0,35.5,0.75,0.04,0.0,256.0,0.0,0.125,0.0,4.9770978693456325,0.004518409126207022,3.0210149984622734,0.004586846912159928,3.012351968885514,0.0036693253201563383,0.008663029576760017,0.0017321640287256516,7.0,0.3535533905932738,2.7886706832624952e-11,1.6235128208063785e-11,4.0,0.0
3.3,26,S_k_p2,4,0.3030157792715052,0.006443590177218668,0.13976725952672758,0.0037427957753062313,0.0011261261261261261,0.0009752538330905841,18.88063063063063,0.03719627154259874,1.6842097614658353,0.031680210436604996,2.813063063063063,0.014465352003001284,0.5925677765197355,0.010821432347393078,0.7261781011781011,0.001430625828561484,0.06477729851791675,0.001218469632177115,256.0,0.0,0.0,0.0,0.0737524634009009,0.00014529793571327633,0.006578944380725919,0.00012375082201798826,4.116081642589284,0.003595848108121458,0.15250195249937512,0.0032439639919712546,3.7966989953491264,0.0039746720545267,0.1527002561326111,0.0034099956507507505,3.4915628324055845,0.008472275621817807,0.20939263230094607,0.0038960834087870388,0.30513616294354207,0.006400124698301368,0.1382862760336744,0.0037365707334484906,133.50563063063063,1.6855601971487113,83.34915819286354,0.5424983866410379,0.00012048366506989479,2.5509633545847556e-06,0.00010928309282542748,1.3238067111225255e-06,4.0,0.0,0.0,0.0,0.00563063063063063,0.0024543349907323615,222.0,0.0,0.008663029575990536,0.0017321640289670156,32.0,0.0,35.5,0.75,0.04,0.0,256.0,0.0,0.125,0.0,4.9770978693456325,0.004518409126207022,3.0210149984622734,0.004586846912159928,3.012351968885514,0.0036693253201563383,0.008663029576760017,0.0017321640287256516,7.0,0.3535533905932738,2.7886706832624952e-11,1.6235128208063785e-11,4.0,0.0
3.3,52,S_k_p2,4,0.1832135883433975,0.003457272744913583,0.07059130011048056,0.0035044056932233576,0.0,0.0,26.555555555555554,0.03343605571345847,1.7356562055299793,0.043923271005445984,4.366666666666666,0.038888888888888765,0.6739193570377535,0.020218613612358733,0.5106837606837606,0.000643001071412677,0.033378003952499596,0.0008446782885662676,256.0,0.0,0.0,0.0,0.10373263888888888,0.00013060959263069716,0.006779907052851482,0.00017157527736502337,4.554640623510759,0.0026756034907896233,0.10353612992832759,0.003857579551917554,3.405154993494552,0.0022511584576138098,0.10382713718079503,0.0038271500220830312,3.2218460843611534,0.00522433324823968,0.09426246354937269,0.004219564400326937,0.1833089091333983,0.0034476781533528214,0.07051085811812993,0.0034938873061363513,33.714814814814815,1.1146656107857251,38.51439844634126,2.1805672232685893,7.7317662279381e-06,8.835092260447463e-07,3.420512519508279e-05,2.0213555726860404e-06,4.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.008663029575990536,0.0017321640289670156,32.0,0.0,35.5,0.75,0.04,0.0,256.0,0.0,0.125,0.0,4.9770978693456325,0.004518409126207022,3.0210149984622734,0.004586846912159928,3.012351968885514,0.0036693253201563383,0.008663029576760017,0.0017321640287256516,7.0,0.3535533905932738,2.7886706832624952e-11,1.6235128208063785e-11,4.0,0.0
3.3,104,S_k_p2,4,0.07995857418038967,0.0016590414482684425,0.03299013761466649,0.0019119593180971554,0.0,0.0,31.045454545454547,0.04044347822739173,0.8101448752477335,0.02075531467783478,7.034090909090908,0.05778843296360742,0.9467822188649356,0.022147324329221188,0.298513986013986,0.0003888795983403079,0.007789854569689757,0.0001995703334407187,256.0,0.0,0.0,0.0,0.12127130681818182,0.00015798233682574894,0.003164628418936459,8.10754479602921e-05,4.792051759097864,0.003538107058433651,0.05147796282250434,0.0010871825093823311,3.1886250086259116,0.0027833176672532635,0.0522879795435227,0.0015618211044727541,3.108666434424206,0.003756135376890602,0.04104895125437601,0.003618566674992495,0.07995857420170543,0.0016590414471617956,0.0329901376133123,0.0019119593181486643,15.204545454545455,0.16164082040418087,3.9133063765429186,0.07831319476637581,4.853628657445915e-11,1.7728646008954267e-12,2.289657224441369e-11,5.760776973864624e-13,4.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.008663029575990536,0.0017321640289670156,32.0,0.0,35.5,0.75,0.04,0.0,256.0,0.0,0.125,0.0,4.9770978693456325,0.004518409126207022,3.0210149984622734,0.004586846912159928,3.012351968885514,0.0036693253201563383,0.008663029576760017,0.0017321640287256516,7.0,0.3535533905932738,2.7886706832624952e-11,1.6235128208063785e-11,4.0,0.0
3.45,13,S_k_p4,4,0.09716325292949446,0.006218474214797543,0.16424843264737943,0.004470229534924128,0.4754464285714286,0.020549054285180765,10.665178571428571,0.0788865939601443,1.6184251925103808,0.05375702569836211,2.071428571428571,0.012327411849539335,0.5506530558469519,0.018297322763943042,0.8203983516483517,0.006068199535395729,0.12449424557772157,0.004135155822950932,255.92857142857144,0.061858957413172426,1.0666560373620055,0.9237512254555401,0.041675385974702384,0.00029603944826598943,0.006332324994234063,0.0002168807169546672,3.3265156345706623,0.013273633188121999,0.27792719259152093,0.009881597230058065,4.518176712657425,0.016847735179684596,0.2904472034315244,0.011926887289589192,4.414814068404676,0.023180411911995377,0.37628077170618357,0.010473757175957953,0.10336264425274891,0.006342103220939145,0.1645341221178791,0.004333475291138079,185.33147321428572,1.5264106869907357,50.86845775312551,2.522139138826408,0.0002625600733669216,6.002971945579041e-06,0.0001644678477972117,2.5516316850658156e-06,3.999720982142857,0.0002416365523952529,0.004166625145945334,0.0036084032244357036,0.6662946428571428,0.016431285562874393,224.0,0.0,0.005475208964515713,0.0008692021656021475,32.0,0.0,37.25,1.1388041973930374,0.04,0.0,256.0,0.0,0.125,0.0,4.96908347089332,0.0034698161207515053,3.0291441701053277,0.00343342620031828,3.0236689611399825,0.004117766161982464,0.005475208965345146,0.0008692021656342408,8.5,0.25,3.2588758080986935e-11,1.4097703623998213e-11,4.0,0.0
3.45,26,S_k_p4,4,0.20022177005173394,0.008510947502087867,0.1359264186310819,0.0018988368789397633,0.040540540540540536,0.015024396468610736,17.653153153153156,0.15896338318944053,2.3946779932979796,0.080807064122843,3.0394144144144146,0.04603019016672818,0.7463930821164664,0.030881641892295215,0.678967428967429,0.006113976276516909,0.09210299974222999,0.003107964004724734,256.0,0.0,0.0,0.0,0.06895762950450451,0.0006209507155837521,0.009354210911320233,0.00031565259422985546,3.9917542598599085,0.017913924263577942,0.24653717803883574,0.011230363771589275,3.9462939716261225,0.019360690824358037,0.24604415021829576,0.012083595361654575,3.742163434607349,0.027269314247553186,0.32655889517721104,0.015972201993253946,0.20413053701877396,0.008372716467600318,0.133940622802598,0.0018372948189062102,167.86936936936937,1.295728374362559,66.56346877175746,0.960635466562036,0.00017833525061780286,3.4850459036607804e-06,0.00010816403505191596,2.4259446545060424e-06,4.0,0.0,0.0,0.0,0.09121621621621621,0.020480330494902266,222.0,0.0,0.005475208964515713,0.0008692021656021475,32.0,0.0,37.25,1.1388041973930374,0.04,0.0,256.0,0.0,0.125,0.0,4.96908347089332,0.0034698161207515053,3.0291441701053277,0.00343342620031828,3.0236689611399825,0.004117766161982464,0.005475208965345146,0.0008692021656342408,8.5,0.25,3.2588758080986935e-11,1.4097703623998213e-11,4.0,0.0
